,credit_card_name,card_type,reviews,reviews_clean,reviews_tokenized,reviews_no_stop,reviews_lemmatized,reviews_string
0,standard-chartered-unlimited-cashback-credit-card,Cashback,['My first credit card. One of the best cards for cash back which is unlimited and also can use as mrt card as well which is pretty convenient,My first credit card One of the best cards for cash back which is unlimited and also can use as mrt card as well which is pretty convenient,"['my', 'first', 'credit', 'card', 'one', 'of', 'the', 'best', 'cards', 'for', 'cash', 'back', 'which', 'is', 'unlimited', 'and', 'also', 'can', 'use', 'as', 'mrt', 'card', 'as', 'well', 'which', 'is', 'pretty', 'convenient']","['first', 'credit', 'best', 'cards', 'cash', 'unlimited', 'mrt', 'well', 'pretty', 'convenient']","['first', 'credit', 'best', 'card', 'cash', 'unlimited', 'mrt', 'well', 'pretty', 'convenient']",first credit best card cash unlimited mrt well pretty convenient
1,standard-chartered-unlimited-cashback-credit-card,Cashback," 'A 1.5% no frill cashback cards. What i like about this is that there seems to be less exclusion as compared to other credit cards. For example, medical bills.   Fee waiver was fast and automated. Useful for card holders who have issues meeting minimum spending", A 15 no frill cashback cards What i like about this is that there seems to be less exclusion as compared to other credit cards For example medical bills   Fee waiver was fast and automated Useful for card holders who have issues meeting minimum spending,"['', 'a', '15', 'no', 'frill', 'cashback', 'cards', 'what', 'i', 'like', 'about', 'this', 'is', 'that', 'there', 'seems', 'to', 'be', 'less', 'exclusion', 'as', 'compared', 'to', 'other', 'credit', 'cards', 'for', 'example', 'medical', 'bills', 'fee', 'waiver', 'was', 'fast', 'and', 'automated', 'useful', 'for', 'card', 'holders', 'who', 'have', 'issues', 'meeting', 'minimum', 'spending']","['frill', 'cashback', 'cards', 'seems', 'less', 'exclusion', 'compared', 'credit', 'cards', 'example', 'medical', 'bills', 'fee', 'waiver', 'fast', 'automated', 'useful', 'holders', 'issues', 'meeting', 'minimum', 'spending']","['frill', 'cashback', 'card', 'seems', 'le', 'exclusion', 'compared', 'credit', 'card', 'example', 'medical', 'bill', 'fee', 'waiver', 'fast', 'automated', 'useful', 'holder', 'issue', 'meeting', 'minimum', 'spend']",frill cashback card seems le exclusion compared credit card example medical bill fee waiver fast automated useful holder issue meeting minimum spend
2,standard-chartered-unlimited-cashback-credit-card,Cashback," '[Fee Waivers] 0 customer service. they will not waive off late payment fees for you. i think the most you can get is nothing. dont even try to use this card, or this bank.", Fee Waivers 0 customer service they will not waive off late payment fees for you i think the most you can get is nothing dont even try to use this card or this bank,"['', 'fee', 'waivers', '0', 'customer', 'service', 'they', 'will', 'not', 'waive', 'off', 'late', 'payment', 'fees', 'for', 'you', 'i', 'think', 'the', 'most', 'you', 'can', 'get', 'is', 'nothing', 'dont', 'even', 'try', 'to', 'use', 'this', 'card', 'or', 'this', 'bank']","['fee', 'waivers', '0', 'customer', 'service', 'waive', 'late', 'payment', 'fees', 'think', 'nothing', 'dont', 'even', 'try', 'bank']","['fee', 'waiver', '0', 'customer', 'service', 'waive', 'late', 'payment', 'fee', 'think', 'nothing', 'dont', 'even', 'try', 'bank']",fee waiver 0 customer service waive late payment fee think nothing dont even try bank
3,standard-chartered-unlimited-cashback-credit-card,Cashback," ""Fast application and ease of usage. Look out for promotions with free gifts! Caveat you need to be a new member i.e. do not hold that bank's credit card for the past 1 year."", '[Cashback Card] Ideal for both high and low spenders. Fuss-free 1.5% with no monthly cashback cap. However, there are better choice out there.  [Promotions and Perks] Plentiful promotions with regards to SCB CC as always.", Fast application and ease of usage Look out for promotions with free gifts Caveat you need to be a new member ie do not hold that banks credit card for the past 1 year Cashback Card Ideal for both high and low spenders Fussfree 15 with no monthly cashback cap However there are better choice out there  Promotions and Perks Plentiful promotions with regards to SCB CC as always,"['', 'fast', 'application', 'and', 'ease', 'of', 'usage', 'look', 'out', 'for', 'promotions', 'with', 'free', 'gifts', 'caveat', 'you', 'need', 'to', 'be', 'a', 'new', 'member', 'ie', 'do', 'not', 'hold', 'that', 'banks', 'credit', 'card', 'for', 'the', 'past', '1', 'year', 'cashback', 'card', 'ideal', 'for', 'both', 'high', 'and', 'low', 'spenders', 'fussfree', '15', 'with', 'no', 'monthly', 'cashback', 'cap', 'however', 'there', 'are', 'better', 'choice', 'out', 'there', 'promotions', 'and', 'perks', 'plentiful', 'promotions', 'with', 'regards', 'to', 'scb', 'cc', 'as', 'always']","['fast', 'application', 'ease', 'usage', 'look', 'promotions', 'free', 'gifts', 'caveat', 'need', 'new', 'member', 'ie', 'hold', 'banks', 'credit', 'past', 'year', 'cashback', 'ideal', 'high', 'low', 'spenders', 'fussfree', 'monthly', 'cashback', 'cap', 'however', 'better', 'choice', 'promotions', 'perks', 'plentiful', 'promotions', 'regards', 'scb', 'cc', 'always']","['fast', 'application', 'ease', 'usage', 'look', 'promotion', 'free', 'gift', 'caveat', 'need', 'new', 'member', 'ie', 'hold', 'bank', 'credit', 'past', 'year', 'cashback', 'ideal', 'high', 'low', 'spenders', 'fussfree', 'monthly', 'cashback', 'cap', 'however', 'better', 'choice', 'promotion', 'perk', 'plentiful', 'promotion', 'regard', 'scb', 'cc', 'always']",fast application ease usage look promotion free gift caveat need new member ie hold bank credit past year cashback ideal high low spenders fussfree monthly cashback cap however better choice promotion perk plentiful promotion regard scb cc always
4,standard-chartered-unlimited-cashback-credit-card,Cashback, 'Super useful cashback card for basically anything and everything spending. Must have for everyone in general, Super useful cashback card for basically anything and everything spending Must have for everyone in general,"['', 'super', 'useful', 'cashback', 'card', 'for', 'basically', 'anything', 'and', 'everything', 'spending', 'must', 'have', 'for', 'everyone', 'in', 'general']","['super', 'useful', 'cashback', 'basically', 'anything', 'everything', 'spending', 'must', 'everyone', 'general']","['super', 'useful', 'cashback', 'basically', 'anything', 'everything', 'spend', 'must', 'everyone', 'general']",super useful cashback basically anything everything spend must everyone general
5,standard-chartered-unlimited-cashback-credit-card,Cashback, 'A very useful cashback card that you could use for all the purchases. The approval status is fast as well., A very useful cashback card that you could use for all the purchases The approval status is fast as well,"['', 'a', 'very', 'useful', 'cashback', 'card', 'that', 'you', 'could', 'use', 'for', 'all', 'the', 'purchases', 'the', 'approval', 'status', 'is', 'fast', 'as', 'well']","['useful', 'cashback', 'could', 'purchases', 'approval', 'status', 'fast', 'well']","['useful', 'cashback', 'could', 'purchase', 'approval', 'status', 'fast', 'well']",useful cashback could purchase approval status fast well
6,standard-chartered-unlimited-cashback-credit-card,Cashback," 'Used this card for awhile due to the unlimited cashback offer, but constantly ran into issues with the overall bill amount due vs what was being shown on the statement.  Ended up being charged late charges a few times as a result, and had to constantly get in touch with their customer service to try and resolve this, while each customer service officer had different answers regarding the situation which was confusing.", Used this card for awhile due to the unlimited cashback offer but constantly ran into issues with the overall bill amount due vs what was being shown on the statement  Ended up being charged late charges a few times as a result and had to constantly get in touch with their customer service to try and resolve this while each customer service officer had different answers regarding the situation which was confusing,"['', 'used', 'this', 'card', 'for', 'awhile', 'due', 'to', 'the', 'unlimited', 'cashback', 'offer', 'but', 'constantly', 'ran', 'into', 'issues', 'with', 'the', 'overall', 'bill', 'amount', 'due', 'vs', 'what', 'was', 'being', 'shown', 'on', 'the', 'statement', 'ended', 'up', 'being', 'charged', 'late', 'charges', 'a', 'few', 'times', 'as', 'a', 'result', 'and', 'had', 'to', 'constantly', 'get', 'in', 'touch', 'with', 'their', 'customer', 'service', 'to', 'try', 'and', 'resolve', 'this', 'while', 'each', 'customer', 'service', 'officer', 'had', 'different', 'answers', 'regarding', 'the', 'situation', 'which', 'was', 'confusing']","['used', 'awhile', 'due', 'unlimited', 'cashback', 'offer', 'constantly', 'ran', 'issues', 'overall', 'bill', 'amount', 'due', 'vs', 'shown', 'statement', 'ended', 'charged', 'late', 'charges', 'times', 'result', 'constantly', 'touch', 'customer', 'service', 'try', 'resolve', 'customer', 'service', 'officer', 'different', 'answers', 'regarding', 'situation', 'confusing']","['used', 'awhile', 'due', 'unlimited', 'cashback', 'offer', 'constantly', 'ran', 'issue', 'overall', 'bill', 'amount', 'due', 'v', 'shown', 'statement', 'ended', 'charged', 'late', 'charge', 'time', 'result', 'constantly', 'touch', 'customer', 'service', 'try', 'resolve', 'customer', 'service', 'officer', 'different', 'answer', 'regarding', 'situation', 'confusing']",used awhile due unlimited cashback offer constantly ran issue overall bill amount due v shown statement ended charged late charge time result constantly touch customer service try resolve customer service officer different answer regarding situation confusing
7,standard-chartered-unlimited-cashback-credit-card,Cashback," 'Fuss-free sign up. A good card for those who find it difficult or a chore to meet spending limits to earn rewards such as cashback.  The cashback is also automatically deducted from your subsequent bill which you can track on the SC app, though the app is slightly dated and not the best UI.  Overall a good credit card to start out with.", Fussfree sign up A good card for those who find it difficult or a chore to meet spending limits to earn rewards such as cashback  The cashback is also automatically deducted from your subsequent bill which you can track on the SC app though the app is slightly dated and not the best UI  Overall a good credit card to start out with,"['', 'fussfree', 'sign', 'up', 'a', 'good', 'card', 'for', 'those', 'who', 'find', 'it', 'difficult', 'or', 'a', 'chore', 'to', 'meet', 'spending', 'limits', 'to', 'earn', 'rewards', 'such', 'as', 'cashback', 'the', 'cashback', 'is', 'also', 'automatically', 'deducted', 'from', 'your', 'subsequent', 'bill', 'which', 'you', 'can', 'track', 'on', 'the', 'sc', 'app', 'though', 'the', 'app', 'is', 'slightly', 'dated', 'and', 'not', 'the', 'best', 'ui', 'overall', 'a', 'good', 'credit', 'card', 'to', 'start', 'out', 'with']","['fussfree', 'sign', 'find', 'difficult', 'chore', 'meet', 'spending', 'limits', 'earn', 'rewards', 'cashback', 'cashback', 'automatically', 'deducted', 'subsequent', 'bill', 'track', 'sc', 'app', 'though', 'app', 'slightly', 'dated', 'best', 'ui', 'overall', 'credit', 'start']","['fussfree', 'sign', 'find', 'difficult', 'chore', 'meet', 'spend', 'limit', 'earn', 'reward', 'cashback', 'cashback', 'automatically', 'deducted', 'subsequent', 'bill', 'track', 'sc', 'app', 'though', 'app', 'slightly', 'dated', 'best', 'ui', 'overall', 'credit', 'start']",fussfree sign find difficult chore meet spend limit earn reward cashback cashback automatically deducted subsequent bill track sc app though app slightly dated best ui overall credit start
8,standard-chartered-unlimited-cashback-credit-card,Cashback, 'First unlimited cash back card I got. Competitive rate at 1.5%. Do make greater use of the The Good Life privileges!, First unlimited cash back card I got Competitive rate at 15 Do make greater use of the The Good Life privileges,"['', 'first', 'unlimited', 'cash', 'back', 'card', 'i', 'got', 'competitive', 'rate', 'at', '15', 'do', 'make', 'greater', 'use', 'of', 'the', 'the', 'good', 'life', 'privileges']","['first', 'unlimited', 'cash', 'got', 'competitive', 'rate', 'make', 'greater', 'life', 'privileges']","['first', 'unlimited', 'cash', 'got', 'competitive', 'rate', 'make', 'greater', 'life', 'privilege']",first unlimited cash got competitive rate make greater life privilege
9,standard-chartered-unlimited-cashback-credit-card,Cashback," 'No problems. Ease of payment, i usually pay via SCB app from my savings account. If using external account (non-scb) the payment will be reflected quite slowly.", No problems Ease of payment i usually pay via SCB app from my savings account If using external account nonscb the payment will be reflected quite slowly,"['', 'no', 'problems', 'ease', 'of', 'payment', 'i', 'usually', 'pay', 'via', 'scb', 'app', 'from', 'my', 'savings', 'account', 'if', 'using', 'external', 'account', 'nonscb', 'the', 'payment', 'will', 'be', 'reflected', 'quite', 'slowly']","['problems', 'ease', 'payment', 'usually', 'pay', 'via', 'scb', 'app', 'savings', 'account', 'external', 'account', 'nonscb', 'payment', 'reflected', 'quite', 'slowly']","['problem', 'ease', 'payment', 'usually', 'pay', 'via', 'scb', 'app', 'saving', 'account', 'external', 'account', 'nonscb', 'payment', 'reflected', 'quite', 'slowly']",problem ease payment usually pay via scb app saving account external account nonscb payment reflected quite slowly
